City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Vicosa Do Ceara,BR,-3.5622,-41.0922,74.25,65,7,4.7,clear sky
211,Guerrero Negro,MX,27.9769,-114.0611,68.67,89,0,11.23,clear sky
212,Najran,SA,17.4924,44.1277,106.45,11,43,18.5,scattered clouds
213,Iqaluit,CA,63.7506,-68.5145,42.53,75,20,4.0,few clouds
214,Behshahr,IR,36.6923,53.5526,78.75,82,92,7.54,overcast clouds
215,Aras,ES,42.5617,-2.356,78.06,48,20,6.91,few clouds
216,Port Arthur,CN,38.8,121.2667,82.62,82,100,20.49,light rain
217,Dolinsk,RU,47.35,142.8,76.86,84,28,5.82,scattered clouds
218,Orissaare,EE,58.5592,23.0826,75.15,60,45,17.58,scattered clouds
219,Okato,NZ,-39.2,173.8833,52.43,91,96,9.95,overcast clouds
220,Hays,US,30.0502,-98.0336,77.49,91,6,3.31,clear sky
221,Nemuro,JP,43.3236,145.575,66.58,99,76,10.18,broken clouds
222,Verkhniye Tatyshly,RU,56.2912,55.8575,74.84,34,4,11.54,clear sky
223,Trat,TH,12.5,102.5,80.04,88,99,7.18,overcast clouds
224,Kaseda,JP,31.4167,130.3167,87.03,79,0,2.75,clear sky
225,Susurluk,TR,39.9136,28.1578,99.84,18,0,18.39,clear sky
226,Lethem,GY,3.3803,-59.7968,73.49,92,99,3.22,overcast clouds
227,Pohrebyshche,UA,49.4864,29.2636,86.83,46,0,8.32,clear sky
228,Morant Bay,JM,17.8815,-76.4093,76.62,79,21,7.14,few clouds
229,Puerto Madryn,AR,-42.7692,-65.0385,47.55,49,0,6.26,clear sky
230,Shiyan,CN,32.6475,110.7781,82.42,60,18,3.18,few clouds
231,Hasaki,JP,35.7333,140.8333,80.89,86,7,12.62,clear sky
232,Burnie,AU,-41.0667,145.9167,47.93,87,7,7.78,clear sky
233,Mar Del Plata,AR,-38.0023,-57.5575,43.88,67,0,1.01,clear sky
234,Saint-Pierre,RE,-21.3393,55.4781,74.88,55,0,33.38,clear sky
235,Qaanaaq,GL,77.484,-69.3632,44.91,93,100,12.91,light rain
236,Pangnirtung,CA,66.1451,-65.7125,54.82,54,87,2.01,overcast clouds
237,Ponta Delgada,PT,37.7333,-25.6667,72.32,83,40,10.36,scattered clouds
238,Yerbogachen,RU,61.2767,108.0108,79.27,35,7,9.4,clear sky
239,Winnemucca,US,40.973,-117.7357,66.11,44,1,6.91,clear sky
240,Martapura,ID,-3.4167,114.85,84.29,61,81,3.44,broken clouds
241,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,38.07,87,8,10.6,clear sky
242,Geraldton,AU,-28.7667,114.6,66.13,82,90,14.97,overcast clouds
243,Faanui,PF,-16.4833,-151.75,78.12,75,78,7.78,light rain
244,Road Town,VG,18.4167,-64.6167,82.2,77,4,18.61,clear sky
245,Bonfim,BR,3.0833,-59.95,74.05,90,98,1.77,overcast clouds
246,Nizwa,OM,22.9333,57.5333,104.7,24,26,16.69,scattered clouds
247,Omsukchan,RU,62.5333,155.8,35.92,99,100,6.53,light rain
248,Mafra,BR,-26.1114,-49.8053,31.93,77,8,3.02,clear sky
249,Hervey Bay,AU,-25.2986,152.8535,65.03,65,6,11.68,clear sky
250,Polson,US,47.6936,-114.1632,66.78,85,99,2.75,overcast clouds
251,Kahului,US,20.8947,-156.47,75.85,91,1,16.11,clear sky
252,Baracoa,CU,20.3467,-74.4958,79.45,86,35,10.47,scattered clouds
253,San Jose,US,37.3394,-121.895,67.78,83,1,6.91,clear sky
254,Nishihara,JP,26.1842,127.7558,83.86,88,20,10.36,few clouds
255,Nyagan,RU,62.1406,65.3936,51.64,73,94,4.61,light rain
256,Grindavik,IS,63.8424,-22.4338,61.56,72,0,6.91,clear sky
257,Portales,US,34.1862,-103.3344,67.95,65,7,2.35,clear sky
258,Clyde River,CA,70.4692,-68.5914,44.83,81,1,3.44,clear sky
259,Deer Lake,CA,49.1667,-57.4316,57.06,88,20,13.8,few clouds
260,Waipawa,NZ,-41.4122,175.5153,52.45,90,38,4.72,scattered clouds
261,Mahebourg,MU,-20.4081,57.7,75.49,57,20,18.41,few clouds
262,Hit,IQ,33.6416,42.8251,108.45,11,0,21.3,clear sky
263,Colares,PT,38.7992,-9.4469,78.04,60,20,15.01,few clouds
264,Zyryanka,RU,65.75,150.85,39.69,96,100,8.57,light rain
265,Salalah,OM,17.0151,54.0924,80.73,80,78,18.61,broken clouds
266,Fortuna,US,40.5982,-124.1573,62.19,94,1,0.0,clear sky
267,Ersekvadkert,HU,47.9962,19.2023,83.97,32,2,14.52,clear sky
268,Ancud,CL,-41.8697,-73.8203,40.53,89,6,3.89,clear sky
269,Trairi,BR,-3.2778,-39.2689,81.23,74,27,11.63,scattered clouds
270,Darovskoy,RU,58.77,47.9564,78.85,41,99,10.4,moderate rain
271,Kandry,RU,54.5667,54.1167,79.52,24,45,7.92,scattered clouds
272,Shingu,JP,33.7333,135.9833,81.59,89,20,6.51,few clouds
273,Cabo San Lucas,MX,22.8909,-109.9124,85.51,61,8,1.99,clear sky
274,Champasak,LA,14.75,106.0,88.68,92,71,1.23,light rain
275,Thompson,CA,55.7435,-97.8558,41.16,93,20,0.0,few clouds
276,Mount Vernon,US,40.9126,-73.8371,73.02,86,75,1.01,broken clouds
277,Sorong,ID,-0.8833,131.25,83.26,75,100,0.81,overcast clouds
278,Zemio,CF,5.0314,25.1361,85.59,52,100,4.83,overcast clouds
279,The Pas,CA,53.8251,-101.2541,57.22,82,90,4.07,overcast clouds
280,Atambua,ID,-9.1061,124.8925,72.93,79,4,2.55,clear sky
281,Harbour Breton,CA,47.4833,-55.7983,62.01,91,99,7.58,overcast clouds
282,Hirara,JP,24.8,125.2833,84.47,84,75,4.61,broken clouds
283,Prince Albert,CA,53.2001,-105.7677,57.15,72,20,8.05,few clouds
284,Raga,SS,8.4596,25.678,83.55,67,38,3.67,light rain
285,Namibe,AO,-15.1961,12.1522,74.03,73,0,0.0,clear sky
286,Portland,US,45.5234,-122.6762,71.53,70,1,1.01,clear sky
287,Sabang,ID,5.8933,95.3214,83.98,76,97,24.02,overcast clouds
288,Plyussa,RU,58.4308,29.3654,80.42,41,88,9.57,overcast clouds
289,Dryden,CA,49.7833,-92.7503,59.29,72,90,5.75,overcast clouds
290,Pareora,NZ,-44.4871,171.2132,44.19,96,56,4.32,broken clouds
291,Bosobolo,CD,4.1833,19.9,90.23,43,78,2.17,broken clouds
292,Te Anau,NZ,-45.4167,167.7167,44.02,90,98,2.3,overcast clouds
293,Leh,IN,34.1667,77.5833,72.27,35,81,2.75,broken clouds
294,Nabire,ID,-3.3667,135.4833,78.01,87,99,2.75,overcast clouds
295,Nhulunbuy,AU,-12.2333,136.7667,75.81,88,89,5.75,overcast clouds
296,Bambous Virieux,MU,-20.3428,57.7575,75.45,57,20,18.41,few clouds
297,Merauke,ID,-8.4667,140.3333,79.47,83,64,12.64,broken clouds
298,Birao,CF,10.2849,22.7882,88.36,52,95,5.66,overcast clouds
299,Verkhnevilyuysk,RU,63.4453,120.3167,67.96,50,23,2.98,few clouds
300,Mahibadhoo,MV,3.7833,72.9667,83.1,69,100,8.9,overcast clouds
301,Dudinka,RU,69.4058,86.1778,67.3,50,100,7.74,overcast clouds
302,Beringovskiy,RU,63.05,179.3167,47.89,80,98,12.71,overcast clouds
303,Hue,VN,16.4667,107.6,98.71,39,20,8.05,few clouds
304,Atikokan,CA,48.7555,-91.6216,53.91,96,0,6.49,clear sky
