City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
342,Galveston,US,83.97,clear sky,29.3669,-94.9669,Comfort Inn & Suites Texas City
343,Carmen,MX,78.15,broken clouds,18.6333,-91.8333,Hotel Lossandes
345,Vila,PT,75.74,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
349,Svetlogorsk,BY,87.3,few clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
350,Morogoro,TZ,77.13,broken clouds,-6.8167,37.6667,Nashera Hotel
353,Oyem,GA,76.08,light rain,1.5995,11.5793,Commissariat de police
354,Bogo,PH,83.88,overcast clouds,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
355,Ahuimanu,US,78.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
356,Proletariy,RU,78.64,overcast clouds,58.4342,31.7046,Tri Kita Mihi-Hotel Bronnitsa
357,Sinnamary,GF,78.28,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
358,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
359,Sinfra,CI,76.37,overcast clouds,6.6167,-5.9167,Hote Ivoire Sinfra
361,Kirakira,SB,78.42,clear sky,-10.4544,161.9205,SanBiz Lodge
363,Sarkand,KZ,88.05,clear sky,45.41,79.9186,Гостиница Сарканд
366,Labuhan,ID,80.37,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
375,Miri,MY,87.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
376,Tarn Taran,IN,89.62,broken clouds,31.45,74.9253,Hotel Satkar
378,Mount Pleasant,US,75.99,fog,32.7941,-79.8626,Best Western Patriots Point
379,Bambanglipuro,ID,78.17,scattered clouds,-7.95,110.2833,Puri Brata
380,Wuhu,CN,84.11,clear sky,31.3366,118.3755,JI Hotel Wuhu Pedestrian Street
388,Tateyama,JP,83.01,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
394,Konakovo,RU,80.82,overcast clouds,56.7,36.7667,Konakovo hotel
396,Asfi,MA,76.78,broken clouds,32.2994,-9.2372,Hôtel Abda
401,Buldana,IN,75.7,overcast clouds,20.5333,76.1833,Saikrupa Lawns
402,Porbandar,IN,83.41,overcast clouds,21.6422,69.6093,Lords Inn Porbandar
406,Nouadhibou,MR,75.18,few clouds,20.931,-17.0347,El Medina
408,Aloleng,PH,81.72,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
412,Kavaratti,IN,82.63,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
413,Ternate,ID,82.31,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
414,Maicao,CO,78.3,broken clouds,11.3832,-72.2432,Hotel Sancho
415,Acarau,BR,79.95,few clouds,-2.8856,-40.12,castelo pizzaria
416,Malindi,KE,80.76,broken clouds,-3.2175,40.1191,African House Resort
417,Tabuk,PH,77.63,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
424,Zhuhai,CN,88.05,moderate rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
425,Colombo,LK,85.95,broken clouds,6.9319,79.8478,Galle Face Hotel
426,Pentecoste,BR,79.68,scattered clouds,-3.7928,-39.2703,Motel Big love
435,Fare,PF,77.99,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
448,Laguna,US,81.21,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
449,Eyl,SO,86.58,overcast clouds,7.9803,49.8164,Amiin Hotel
451,Lazaro Cardenas,MX,76.37,scattered clouds,17.9583,-102.2,quinta antigua
453,Maunabo,PR,80.89,broken clouds,18.0072,-65.8993,Maunacaribe
459,Irshava,UA,83.98,scattered clouds,48.3167,23.0385,Hotel Illara
460,Saiha,IN,76.41,overcast clouds,22.4833,92.9667,"Circuit House, Siaha"
461,Majene,ID,80.46,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
465,Maumere,ID,77.94,clear sky,-8.6199,122.2111,Sylvia Hotel
466,Coahuayana,MX,77.16,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
467,Kieta,PG,80.22,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
468,Farafenni,GM,83.7,overcast clouds,13.5667,-15.6,Eddy's Hotel
474,Acapulco,MX,78.24,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
476,Zambezi,ZM,80.73,broken clouds,-13.5432,23.1047,Royal Kutachika Lodge
487,The Valley,AI,80.46,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
490,Umea,SE,80.53,clear sky,63.8284,20.2597,Hotel Avenue | ProfilHotels
493,Black River,JM,78.8,scattered clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
500,Inhuma,BR,81.03,broken clouds,-6.6683,-41.7078,Edifício Bezerra
501,Kavieng,PG,82.8,clear sky,-2.5744,150.7967,Nusa Island Retreat
506,Kapiri Mposhi,ZM,75.56,scattered clouds,-13.9652,28.6809,MA 22 LODGE
511,Papara,BR,81.72,scattered clouds,-3.9839,-38.7273,Romin
515,Muramatsu,JP,76.26,scattered clouds,37.6833,139.1833,五泉ゲストハウス五ろり
516,Zheleznodorozhnyy,RU,77.36,overcast clouds,55.7503,38.0042,Hotel Dali
518,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
